Parameter;Value
pipe1.Length;1
pipe7.Length;1
pipe2.Length;1
pipe3.Length;1
pipe4.Length;1
pipe5.Length;1
pipe6.Length;1
pipe1.Diameter;0.2
pipe7.Diameter;0.3
pipe2.Diameter;0.3
pipe3.Diameter;0.3
pipe4.Diameter;0.28
pipe5.Diameter;0.3
pipe6.Diameter;0.5
tank1.Diameter;2
tank2.Diameter;2
tank3.Diameter;2
tank4.Diameter;2
tank1.Height;15
tank2.Height;10
tank3.Height;10
tank4.Height;15
valveLinear1.Flow_Nominal;0.001
valveLinear2.Flow_Nominal;0.001
valveLinear3.Flow_Nominal;0.001
valveLinear4.Flow_Nominal;0.001
valveLinear5.Flow_Nominal;0.001
valveLinear6.Flow_Nominal;0.001
valveLinear7.Flow_Nominal;0.001
valveLinear1.dp_nominal;1
valveLinear2.dp_nominal;1
valveLinear3.dp_nominal;1
valveLinear4.dp_nominal;1
valveLinear5.dp_nominal;1
valveLinear6.dp_nominal;1
valveLinear7.dp_nominal;1
